ticket_id,body,queue,type,priority,aspect_tags,asp_billing,asp_account,asp_performance,asp_security,asp_bug,asp_feature,asp_network,asp_hardware,asp_software,label_source,notes
87,"Dear Support Team, We have discovered a severe disruption affecting the EMR/PACS connections, seemingly due to a network failure that may also indicate a security breach. Preliminary assessments by the SOC DevSecOps teams revealed immediate vulnerabilities. We are continuing to monitor the situation to ensure the system's security and stability. We urgently seek your help in diagnosing and resolving the problem to restore normal operations as swiftly as possible. Kindly keep us updated on your findings and recommended measures. Thank you for promptly notifying us about this critical issue impacting EMR/PACS integration. We are escalating the matter to our network security specialists for immediate investigation. Please keep us posted on the progress and suggested actions. If possible, provide recent system logs and details of affected endpoints to assist with the analysis.",Service Outages and Maintenance,Incident,high,network|performance|security,not_present,not_present,negative,negative,not_present,not_present,negative,not_present,not_present,llm-qwen3-4b-4bit,
102,"Dear Support Team, I am submitting a report concerning a significant problem impacting several hardware and software units within our environment. Over the past few days, we have noticed ongoing performance issues related to access across multiple devices. These problems appear to coincide with recent security setting adjustments made as part of our routine update processes. Initially, I carried out basic troubleshooting procedures such as rebooting the affected units and checking network connections. Regrettably, these actions did not resolve the issues.",IT Support,Incident,high,hardware|network|performance,not_present,not_present,negative,negative,not_present,not_present,negative,negative,negative,llm-qwen3-4b-4bit,
132,"Medical technical equipment such as touchscreens, webcams, and Ubuntu-based systems are experiencing crashes and connectivity disruptions, probably due to conflicts caused by recent security patches affecting device drivers. Restarting devices, manual updates, and reverting patches have been effective in resolving these problems.",Technical Support,Incident,high,bug|hardware|network|performance|security,not_present,not_present,negative,negative,negative,not_present,negative,negative,negative,llm-qwen3-4b-4bit,
194,Facing system interruptions due to an incident involving various devices. The problem seems linked to a security conflict caused by misconfigurations and SOC oversight in device integrations. The security team examined logs and identified malicious activity. Please advise on the subsequent actions.,Product Support,Incident,low,bug|performance|security,not_present,not_present,negative,negative,not_present,not_present,not_present,negative,negative,llm-qwen3-4b-4bit,
221,"Dear Customer Support, I am facing an issue where my printer releases excessive ink droplets onto the Logitech StreamCam. This problem began after recent firmware updates. I believe it may be due to a conflict with system drivers. I have already attempted reinstalling the drivers and resetting the StreamCam device, but the issue remains. Could you please help troubleshoot this problem? It is significantly disrupting my workflow, and I would appreciate guidance on resolving it, particularly regarding compatibility concerns.",Technical Support,Incident,medium,bug|feature|hardware|performance,not_present,not_present,negative,not_present,negative,not_present,not_present,negative,negative,llm-qwen3-4b-4bit,
270,"Dear Customer Support Team, I am reaching out to request revisions to the current support procedures to better accommodate the deployment of new hardware devices. It is crucial that interdisciplinary Agile teams implement the necessary integrations to guarantee the platform's availability, security, and scalability. This will help ensure smooth operations across the specified devices and improve overall system performance. Your prompt attention to this matter would be highly appreciated. Thank you for your support.",IT Support,Change,medium,feature|security,not_present,not_present,neutral,neutral,not_present,neutral,not_present,neutral,neutral,llm-qwen3-4b-4bit,
276,"Dear Customer Support Team, I am submitting a report regarding a critical security breach identified within the EMR/PACS integration platform. The breach appears to stem from vulnerabilities possibly introduced by recent software updates. Although we have activated continuous 24/7 monitoring and are conducting thorough penetration testing to determine the root cause, our investigations have yet to pinpoint the exact origin of the issue. Considering the sensitive data involved and the vital role this integration plays in our operations,",Product Support,Problem,medium,account|bug|performance|security,not_present,not_present,not_present,negative,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
316,"Dear Customer Support, I am seeking advice on how to integrate QuickBooks Online, a cloud-based SaaS platform. Since we are employing a microservices architecture, I want to ensure that API connections are both secure and dependable. Furthermore, my goal is to achieve seamless data synchronization across systems to preserve data integrity with real-time updates. Could you please share best practices and documentation on securely connecting APIs within this context, along with recommendations on tools and frameworks suitable for microservices integration with QuickBooks Online?",IT Support,Request,high,feature|network|security,not_present,not_present,not_present,neutral,not_present,neutral,not_present,not_present,neutral,llm-qwen3-4b-4bit,
339,"Dear Support Team, I am submitting a report regarding ongoing connectivity disruptions caused by a network switch, which are severely impacting our operations. These issues started recently and, despite rebooting the device and verifying all cable connections, they continue. I suspect the cause might be related to recent configuration modifications or potential hardware malfunctions. Our team has already initiated some troubleshooting steps, including restarting the device completely and inspecting all cables thoroughly.",Customer Service,Problem,low,hardware|network|performance,not_present,not_present,negative,not_present,not_present,not_present,negative,negative,not_present,llm-qwen3-4b-4bit,
403,"Dear Customer Support Team, I am seeking advice on organizing interdisciplinary Agile teams within our organization. The goal of adopting Agile practices is to enhance collaboration across various departments. However, I am unsure about the best methods to form these teams to ensure they are efficient and align with Agile standards. Specifically, I would like guidance on team makeup, roles and responsibilities, and managing inter-team dependencies. Additionally, any suggestions on tools and frameworks that support effective teamwork would be highly valuable.",Technical Support,Request,low,,not_present,not_present,not_present,not_present,not_present,neutral,not_present,not_present,neutral,llm-qwen3-4b-4bit,
416,"Dear Customer Support Team, I am reaching out to request help regarding problems with my device's touchscreen monitor. Lately, the touchscreen's responsiveness has become erratic, making it difficult to navigate applications smoothly. Furthermore, the display occasionally flickers and sometimes shows distorted colors, which significantly impacts the user experience. I have already attempted basic troubleshooting methods such as restarting the device and adjusting display settings, but the issues continue. I am concerned that these problems might be related to hardware malfunctions.",Product Support,Problem,medium,bug|hardware|performance,not_present,not_present,not_present,not_present,not_present,not_present,not_present,negative,not_present,llm-qwen3-4b-4bit,
417,"Dear Customer Support, I am experiencing ongoing problems with my digital hearing aids connecting via Bluetooth. This issue started shortly after I upgraded my Wi-Fi network. I believe there might be interference causing the disconnections. I have already attempted to restart the hearing aids and reset the Bluetooth settings, but the connection problems persist. Furthermore, I am aware that a new firmware update is available, which could potentially resolve the connectivity issues. In the meantime, I would appreciate any troubleshooting guidance you can provide.",IT Support,Incident,medium,bug|hardware|network|performance,not_present,not_present,not_present,not_present,not_present,not_present,negative,negative,negative,llm-qwen3-4b-4bit,
418,"Dear Customer Support Team, I hope this message reaches you well. I am writing to highlight a billing inconsistency observed on the most recent invoice for the client account. The charges detailed do not align with the agreed-upon rates specified in the service contract. Specifically, there are unexpected fees and missing discounts that were previously discussed and should have been applied. Could you kindly examine the invoice details and clarify these discrepancies? Resolving this matter swiftly is crucial for us to maintain precise financial records.",Billing and Payments,Incident,medium,billing|performance,negative,negative,not_present,not_present,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
462,"Dear Customer Support Team, I hope this message finds you well. I am writing to report a recurring problem with the connection of my smart device within the system. Over the past few days, I have encountered notable interruptions that have negatively impacted the device's ability to stay connected to the network reliably. Initially, the device functioned perfectly, integrating smoothly with the system. However, lately, it has been disconnecting sporadically without any clear reason. This loss of connectivity is affecting the overall performance and usability of the device.",Customer Service,Incident,low,network|performance,not_present,not_present,negative,not_present,negative,not_present,negative,negative,not_present,llm-qwen3-4b-4bit,
464,"Dear Customer Support Team, I am urgently reporting an incident currently affecting the software systems of healthcare devices. The issue critically impacts the functionality and reliability of devices vital for patient care. Symptoms include intermittent connectivity issues, software failures, and delays in data processing, which may pose risks to patient safety and clinical outcomes. Immediate investigation and resolution are essential. Please prioritize this matter and assist in mitigating the impact.",Human Resources,Incident,medium,account|bug|hardware|network|performance|security,not_present,not_present,negative,not_present,negative,not_present,negative,negative,negative,llm-qwen3-4b-4bit,
480,"Dear Support Team, I hope this message finds you well. I am reaching out to request help with an issue I am experiencing while integrating a new marketing plan into the platform. Despite adhering to the instructions provided, the implementation does not appear to be functioning as expected. The main problem occurs when trying to synchronize marketing campaigns with the platform's analytics tools. Data updates are supposed to be in real-time, but key performance metrics are not reflecting recent changes. This discrepancy makes it difficult to effectively monitor performance.",General Inquiry,Problem,low,feature,not_present,not_present,negative,not_present,not_present,negative,not_present,not_present,negative,llm-qwen3-4b-4bit,
535,"Dear Support Team, I'm currently facing difficulties with my QNAP network storage unit. Over the past few days, I've been unable to establish a connection to the device, which prevents me from retrieving stored information. The device seems to be powered on normally, but the network connection appears unstable and unresponsive. I have attempted to restart the device and inspect the cables, yet the issue remains. This problem affects my productivity, and I would be grateful for a swift diagnosis and solution to the connectivity and data access issues. Please advise.",Product Support,Problem,high,hardware|network|performance,not_present,not_present,not_present,not_present,not_present,not_present,negative,negative,not_present,llm-qwen3-4b-4bit,
564,"Customer Support, I am reporting a critical incident involving security breaches within hospital medical data systems. Preliminary investigations indicate that these breaches may be linked to outdated patches and weak password security. We have taken prompt measures to resolve the issue, including performing network scans to identify vulnerabilities, updating Red Enterprise Linux to ensure all security patches are current, and strengthening firewall rules to prevent unauthorized access.",Technical Support,Incident,high,account|performance|security,not_present,not_present,not_present,negative,not_present,not_present,negative,not_present,negative,llm-qwen3-4b-4bit,
611,"The report writing process is encountering a critical issue related to the financial firm's data integration across multiple platforms. Recently, failures have occurred, leading to substantial disruptions in operations. The suspected cause seems to be incompatible updates or software conflicts. The team has attempted troubleshooting steps such as system reboots, applying patch updates, and consulting vendors, but the problem persists. We are seeking support assistance to resolve this matter. Could you please advise on the next steps?",Technical Support,Incident,medium,bug|feature|performance|software,not_present,not_present,negative,not_present,negative,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
615,"Customer support is needed for an issue with the data analytics system, which is experiencing intermittent failures. The potential causes could be software incompatibility or hardware malfunctions. After restarting the affected devices and updating the software, the problem still persists. We kindly request your assistance in resolving this matter promptly to minimize any potential losses. Please advise on the next steps to take. We appreciate your quick attention to this issue and look forward to your response.",Technical Support,Incident,low,account|bug|hardware|performance|software,not_present,not_present,negative,not_present,negative,not_present,not_present,negative,negative,llm-qwen3-4b-4bit,
617,"Customer Support, We are documenting an incident report related to the technical support queue impacting several products, including the Smart-Roboter-Mopp and Oracle Database 19c, among others. The problem is characterized by system performance degradation, which is suspected to be linked to recent configuration changes that increased user traffic. So far, attempts to resolve the issue have been made. Initial troubleshooting steps involved restarting the affected services and reviewing recent deployment logs. Unfortunately, the problem remains unresolved.",Technical Support,Incident,medium,account|performance,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
625,"The marketing firm encountered interruptions impacting various device software, potentially due to network conflicts or misconfigured settings. Problems continue across different platforms despite preliminary troubleshooting efforts.",Human Resources,Incident,high,bug|network|performance,not_present,not_present,negative,not_present,not_present,not_present,negative,negative,negative,llm-qwen3-4b-4bit,
631,"Customer Support is seeking assistance with integrating Google Cloud Platform with HubSpot CRM to enhance investment data analytics and optimize processes. The company aims to streamline its data analytics workflow to improve investment strategies and believes that combining these two platforms will help us reach our objectives. However, we are uncertain about the best approach to take and would greatly value your guidance and support. Could you please provide us with information on the following: the advantages of integrating Google Cloud Platform with HubSpot CRM?",Technical Support,Request,medium,feature|network|software,not_present,not_present,not_present,not_present,not_present,neutral,not_present,not_present,neutral,llm-qwen3-4b-4bit,
644,"Customer support has received reports of recurring billing mistakes impacting multiple hardware and software products used by a healthcare provider. Despite efforts such as system reboots and software updates, the issue persists. It is suspected that data synchronization problems might be causing these inaccuracies. The billing errors are consistent across various products, suggesting a more profound underlying issue that requires urgent investigation. Kindly look into this matter and provide a solution to correct the errors.",Billing and Payments,Problem,medium,billing|feature|hardware|software,negative,not_present,not_present,not_present,not_present,not_present,not_present,negative,negative,llm-qwen3-4b-4bit,
665,"Customer Support, composing a report regarding a recent problem with the healthcare provider's network. The network faced interruptions, impacting data accessibility. Upon investigation, a potential cause was identified as a misconfiguration in the TP-Link switch. To resolve the issue, the switch was restarted and its firmware was updated. The network has now stabilized, and data access has been restored. Nonetheless, I would like to request assistance in preventing similar incidents in the future. Could you please provide guidance on the proper configuration of the TP-Link switch as recommended?",Technical Support,Problem,medium,hardware|network|performance,not_present,not_present,negative,not_present,not_present,not_present,negative,neutral,not_present,llm-qwen3-4b-4bit,
724,"The healthcare organization encountered unauthorized attempts to access medical data systems, likely due to insufficient access controls. They have updated password policies, monitored network activity, and strengthened security protocols to prevent recurrence. Enhanced security measures have been put in place for improved protection.",Product Support,Incident,medium,account|network|security|software,not_present,not_present,not_present,neutral,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
728,"The Screen Recorder has been failing intermittently, which might be related to server overload. After restarting the application, the problem still persists. I would appreciate it if you could look into this matter and provide a solution as soon as possible. Please inform me if there is any additional information needed to resolve the issue.",Product Support,Incident,low,bug|network|performance,not_present,not_present,negative,not_present,negative,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
737,"Customer Support reports a technical problem affecting the performance of multiple applications on Lenovo Android devices. Users are experiencing frequent synchronization failures across platforms such as Udemy, Skype, and ClickUp, leading to considerable delays in completing tasks. The root cause seems to be compatibility issues with Node.js version 14.17, further complicated by network instability caused by the TP-Link switch. Despite efforts to troubleshoot by restarting devices, updating software, and verifying network connections, the issue persists.",Technical Support,Problem,high,bug|feature|hardware|performance|software,not_present,not_present,negative,not_present,not_present,not_present,negative,negative,negative,llm-qwen3-4b-4bit,
